"name","bpm","genre","start time","end time","playtime","deck"
"Splash Waterfalls (Whatever You Want Remix) (Intro Clean)","73","Hip Hop","5:36:50 PM CDT","5:40:18 PM CDT","00:03:28","1"
"Kiss Me Thru The Phone (Intro Clean)","75","Hip Hop","5:39:25 PM CDT","5:42:41 PM CDT","00:03:16","2"
"WHISKEY WHISKEY (Intro Clean)","76","Hip Hop","5:40:18 PM CDT","5:44:21 PM CDT","00:04:03","1"
"Man Down (Intro Clean)","78","Reggae","5:42:41 PM CDT","5:47:06 PM CDT","00:04:25","2"
"Shawty (Intro Clean)","79","Hip Hop","5:44:54 PM CDT","5:49:10 PM CDT","00:04:16","1"
"Walk It Out (Intro Clean)","80","Hip Hop","5:47:06 PM CDT","5:51:41 PM CDT","00:04:35","2"
"Down On Me (Refresh Acapella Break) (Clean Extended)","80","Hip Hop","5:49:35 PM CDT","5:52:55 PM CDT","00:03:20","1"
"Birthday Cake (Remix) (BPM Supreme Party Starter) (Dirty Extended)","80","Pop","5:51:47 PM CDT","5:55:00 PM CDT","00:03:13","2"
"Dance (Ass) (Remix) (Intro Clean)","80","Hip Hop","5:52:55 PM CDT","5:56:25 PM CDT","00:03:30","1"
"Savage (Remix) (Intro Clean)","84","Hip Hop","5:55:00 PM CDT","5:57:27 PM CDT","00:02:27","2"
"It's Goin' Down (Intro Clean)","84","Hip Hop","5:56:25 PM CDT","6:00:48 PM CDT","00:04:23","1"
"Get Like Me (Intro Clean)","88","Hip Hop","5:59:56 PM CDT","6:03:11 PM CDT","00:03:15","2"
"Drop It Low (Intro Dirty)","88","Hip Hop","6:00:48 PM CDT","6:05:12 PM CDT","00:04:24","1"
"Drop It Like It's Hot (Intro Dirty)","92","Hip Hop","6:04:03 PM CDT","6:07:46 PM CDT","00:03:43","2"
"Thrift Shop (Intro Clean)","95","Hip Hop","6:06:11 PM CDT","6:08:51 PM CDT","00:02:40","1"
"Shot Busters (Halloween Party Starter) (Dirty) (Extended)","128","House","6:07:46 PM CDT","6:11:06 PM CDT","00:03:20","2"
"Scream & Shout (Intro Dirty)","130","Pop","6:09:19 PM CDT","6:13:19 PM CDT","00:04:00","1"
"On My Mind (Clean Extended)","123","Tech House","6:11:06 PM CDT","6:16:44 PM CDT","00:05:38","2"
"Sexy And I Know It (Alvin Anthony Remix) (Dirty Extended)","124","Tech House","6:13:19 PM CDT","6:15:10 PM CDT","00:01:51","1"
"My Humps (Refresh Epic Intro) (Dirty Extended)","124","Hip Hop","6:15:10 PM CDT","6:18:26 PM CDT","00:03:16","1"
